userId,reviewNo,rating,movieId
airf,15772038,2,136900
airf,15733971,10,163788
airf,15650791,10,174065
nanw,15772037,10,154667
nanw,15623438,10,136900
nanw,11909074,10,145335
nanw,10303746,9,120141
nanw,3809124,9,54704
zxcv,15772036,7,113351
zxcv,15764464,10,86507
zxcv,15746368,10,39705
zxcv,15735252,1,39756
zxcv,15735251,10,31925
zxcv,15735250,6,35098
zxcv,15694816,1,168679
zxcv,15685492,8,123300
zxcv,15678774,2,151188
zxcv,15678589,2,41592
zxcv,15677769,10,18811
zxcv,15660276,1,118994
zxcv,15617704,2,164183
zxcv,15599119,10,76016
zxcv,15575094,10,130997
zxcv,15513100,10,24522
zxcv,15506296,1,148909
zxcv,15504147,2,139700
zxcv,15483517,1,158622
zxcv,15476613,10,171725
zxcv,15423982,6,181411
zxcv,15422174,7,164932
zxcv,15364402,1,132623
zxcv,15358960,10,58072
zxcv,15323876,5,67696
zxcv,15323867,1,61060
zxcv,15312813,10,76037
zxcv,15311995,6,141104
zxcv,15305442,10,34431
zxcv,15305432,10,38689
zxcv,15305420,10,31882
zxcv,15291581,1,158112
zxcv,15291565,1,126034
zxcv,15290674,6,116233
zxcv,15272862,7,167651
zxcv,15269539,3,167697
zxcv,15223186,5,67533
zxcv,15219763,8,105246
zxcv,15184386,6,146501
zxcv,15166578,6,106065
zxcv,15164181,1,161868
zxcv,15162435,2,146485
zxcv,15153292,9,29558
zxcv,15132920,9,152632
zxcv,15129509,8,169643
zxcv,15129353,9,122596
zxcv,15112769,6,39907
zxcv,15110607,8,57971
zxcv,15108666,8,10504
zxcv,15092552,10,13008
zxcv,15089219,8,87305
zxcv,15088354,10,37838
zxcv,15087812,10,29321
zxcv,15049897,6,151153
zxcv,14970096,1,11181
zxcv,14946347,5,165475
zxcv,14944009,4,170879
zxcv,14925349,9,27563
zxcv,14910346,1,178654
zxcv,14910344,4,160375
zxcv,14899776,2,168047
zxcv,14898116,3,168049
zxcv,14887315,2,154255
zxcv,14878270,10,47411
zxcv,14868944,10,158610
zxcv,14851815,2,11467
zxcv,14850849,7,37050
zxcv,14838689,1,167602
zxcv,14792102,8,168050
zxcv,14792098,1,131388
zxcv,14773831,7,136990
zxcv,14770173,6,149248
zxcv,14741985,9,116234
zxcv,14658957,3,164115
zxcv,14634893,10,118917
zxcv,14620958,9,118950
zxcv,14572359,6,153675
zxcv,14507907,1,169015
zxcv,14461065,10,130943
zxcv,14378896,8,168017
zxcv,14356280,10,85579
zxcv,14354422,1,143214
zxcv,14295964,1,144330
zxcv,13873144,8,103321
zxcv,13870871,10,106360
zxcv,13752370,10,151728
zxcv,13751210,1,158180
zxcv,13676324,1,170427
zxcv,13578427,10,122527
zxcv,13575506,10,154668
zxcv,13574019,10,153652
zxcv,13572685,5,118377
zxcv,13571731,1,158495
zxcv,13568468,1,146316
zxcv,13550047,10,156083
zxcv,13548068,8,99715
zxcv,13533488,5,152385
zxcv,13484639,10,40135
zxcv,13476561,6,152633
zxcv,13465117,1,152625
zxcv,13462843,10,17419
zxcv,13450828,10,149747
zxcv,13437266,9,97629
zxcv,13313939,10,38197
zxcv,13234891,2,149283
zxcv,13222207,3,82473
zxcv,13221531,6,143394
zxcv,13039738,10,127398
zxcv,12845065,7,129049
zxcv,12823866,1,125473
zxcv,12819684,8,121051
zxcv,12815263,6,127397
zxcv,12813700,9,149776
zxcv,12765408,1,137008
zxcv,12758934,3,100691
zxcv,12757748,5,113344
zxcv,12732863,9,49336
zxcv,12732857,7,129383
zxcv,12724724,3,115642
zxcv,12717431,10,136872
zxcv,12714401,10,29044
zxcv,12688393,6,87585
zxcv,12516206,3,97692
zxcv,12380293,5,130849
zxcv,12379774,10,130850
zxcv,12361133,5,119430
zxcv,12358216,6,150198
zxcv,12349716,1,74866
zxcv,12349712,8,134963
zxcv,12349697,6,142803
zxcv,12189556,3,137938
zxcv,12017635,1,148675
zxcv,11363935,10,69105
zxcv,11340832,10,10489
zxcv,11265189,6,86899
zxcv,11253488,1,98149
zxcv,11248252,4,94187
zxcv,11220707,1,39470
zxcv,11215629,7,127364
zxcv,11187802,7,92003
zxcv,11173242,10,57899
zxcv,11166481,1,96014
zxcv,11166188,9,54977
zxcv,11039548,2,117861
zxcv,11018036,9,92064
zxcv,10840988,10,18819
zxcv,10840979,10,28788
zxcv,10832445,9,92011
zxcv,10825129,1,96969
zxcv,10824043,10,57723
zxcv,10817220,4,98430
zxcv,10808899,10,41450
zxcv,10808894,1,65058
zxcv,10808672,9,88461
zxcv,10801972,1,89724
zxcv,10801399,1,93739
zxcv,10727825,10,68587
zxcv,10721399,7,76450
zxcv,10695698,1,119985
zxcv,10522259,10,126389
zxcv,10522096,6,37896
zxcv,10518169,10,18543
zxcv,10517800,9,112268
zxcv,10501404,1,100950
zxcv,10490815,10,19436
zxcv,10487051,1,96986
zxcv,10471101,7,92536
zxcv,10462099,9,76051
zxcv,10451329,10,19509
zxcv,10451314,10,33080
zxcv,10446707,1,91399
zxcv,10332648,1,140895
zxcv,10253491,6,76444
zxcv,10219889,9,115622
zxcv,10169683,1,49004
zxcv,10169680,3,102824
zxcv,10167010,6,67786
zxcv,10167002,10,92823
zxcv,10166905,10,114249
zxcv,9866277,10,98438
zxcv,9634531,1,52541
zxcv,9584578,10,83893
zxcv,9403577,8,97857
zxcv,9377207,6,79425
zxcv,9345184,10,100931
zxcv,9307391,10,76020
zxcv,9306155,8,127338
zxcv,9299293,7,98996
zxcv,9296412,7,91192
zxcv,9270942,2,93158
zxcv,9260944,10,100990
zxcv,9260932,1,45914
zxcv,9256613,7,93933
zxcv,9250046,2,62328
zxcv,9250041,9,90589
zxcv,9250036,10,10262
zxcv,9162852,1,67769
zxcv,9137805,10,98747
zxcv,9137803,8,93756
zxcv,8617945,10,72363
zxcv,8617938,8,70121
zxcv,8617935,2,72357
zxcv,8483334,1,101700
zxcv,8483319,10,89755
zxcv,8483315,1,101611
zxcv,8164574,6,78726
zxcv,8164571,1,103519
zxcv,8164568,1,109912
zxcv,7957308,4,71761
zxcv,7867906,10,10102
zxcv,7867899,10,47528
zxcv,7867895,1,92825
zxcv,7836571,9,52515
zxcv,7836562,8,85640
zxcv,7836555,5,92047
zxcv,6859886,6,70994
zxcv,6835792,7,49228
zxcv,6834039,8,64995
zxcv,6834034,4,84997
zxcv,6819973,10,45945
zxcv,6819748,10,51689
zxcv,6802559,7,36869
zxcv,6802553,10,38582
zxcv,6799038,10,33756
zxcv,6773545,6,73411
zxcv,6733844,6,78070
zxcv,6733830,9,32900
zxcv,6733827,8,65869
zxcv,6714825,10,44715
zxcv,6246946,10,76626
zxcv,6098324,10,71487
zxcv,5994745,2,44477
zxcv,5994740,10,25906
zxcv,5994737,7,74879
zxcv,5899583,10,42842
zxcv,5820507,10,13172
zxcv,5804492,8,54704
zxcv,5804489,7,78218
zxcv,5745123,10,45535
zxcv,5745120,5,66158
zxcv,5745118,8,35070
zxcv,5736109,10,13244
zxcv,5736094,6,66144
zxcv,5736088,7,37236
zxcv,5732839,10,24602
zxcv,5731583,10,16906
zxcv,5731580,10,22126
zxcv,5731575,8,34227
zxcv,5718293,10,11482
zxcv,5718287,10,52524
zxcv,5718284,5,53025
zxcv,5702626,1,52744
zxcv,5702625,2,63202
zxcv,5702622,4,50407
zxcv,5688416,10,33836
zxcv,5688415,1,65649
zxcv,5683883,10,40743
zxcv,5679048,4,51074
zxcv,5678859,10,41599
zxcv,5616520,1,48246
zxcv,5616507,3,81784
zxcv,5599183,10,75470
zxcv,5587123,10,24008
zxcv,5578891,10,10200
zxcv,5578886,10,32686
zxcv,5578870,10,52120
zxcv,5572173,6,75693
zxcv,5567768,6,70241
zxcv,5567767,10,52503
zxcv,5567755,10,64129
zxcv,5537526,10,76347
zxcv,5528698,10,18934
zxcv,5528694,3,73018
zxcv,5497446,10,50598
zxcv,5492271,7,52462
zxcv,5485654,9,33681
zxcv,5485649,7,71499
zxcv,5485450,5,51918
zxcv,5438461,10,30791
zxcv,5438459,8,37245
zxcv,5438456,2,30984
zxcv,5436255,10,19761
zxcv,5436252,10,56083
zxcv,5436250,10,39894
zxcv,5418838,10,39150
zxcv,5418837,10,30302
zxcv,5396917,10,31013
zxcv,5392758,1,61431
zxcv,5375656,9,36484
zxcv,5375651,10,17521
zxcv,5375650,7,43157
zxcv,5366758,8,39484
zxcv,5365000,10,36590
zxcv,5364999,1,65000
zxcv,5361429,10,35624
zxcv,5361418,8,75396
zxcv,5360995,6,39758
zxcv,5354134,2,49725
zxcv,5348620,10,31268
zxcv,5348057,9,61428
zxcv,5348052,10,29712
zxcv,5334257,2,79401
zxcv,5309822,3,48227
zxcv,5308796,5,66487
zxcv,5308792,10,33082
zxcv,5308791,8,39576
zxcv,5305845,1,38662
zxcv,5273643,10,38766
zxcv,5268777,9,36944
zxcv,5268575,2,56469
zxcv,5266548,10,30688
zxcv,5258878,10,72393
zxcv,5258875,8,57278
zxcv,5258872,10,11810
zxcv,5255605,4,39786
zxcv,5255604,10,18682
zxcv,5239354,4,51386
zxcv,5239349,10,45944
zxcv,5185559,8,39524
zxcv,5184390,9,39368
zxcv,5184166,10,39584
zxcv,5139687,6,50098
zxcv,5139684,8,18847
zxcv,5139678,10,66463
zxcv,5120767,2,47531
zxcv,5020521,10,52425
zxcv,5020322,10,52757
zxcv,5019797,4,69958
zxcv,4945023,1,69269
zxcv,4939725,10,71790
zxcv,4835078,1,52999
zxcv,4822871,7,31465
zxcv,4809461,1,72523
zxcv,4802717,10,19110
zxcv,4210464,10,45774
zxcv,4210457,10,10114
zxcv,4210455,10,53149
zxcv,3717983,10,65067
zxcv,3688617,10,60484
zxcv,3606435,10,16172
zxcv,3233139,10,66381
zxcv,3233115,10,62733
zxcv,3031532,1,42589
zxcv,3031509,10,68555
zxcv,2995089,1,45292
zxcv,2693089,10,51510
zxcv,2106023,1,58387
zxcv,1967896,10,35990
zxcv,1885977,1,10962
zxcv,1885968,1,39569
zxcv,1510074,10,37005
zxcv,1382838,10,48742
zxcv,1382837,10,62422
zxcv,1382835,1,53813
zxcv,1103509,1,60166
zxcv,1103505,10,10936
sdh1,15772035,9,139523
sdh1,15772033,9,146548
sdh1,13882985,10,159862
sdh1,659809,10,44022
guan,15772032,10,161967
guan,15183392,10,167651
guan,15082307,8,156464
guan,15082302,6,171755
guan,15026919,9,157297
kalk,15772031,1,174065
kalk,15127607,10,31159
kalk,15127602,1,152344
kalk,10836531,10,113353
kalk,9207249,10,67769
kalk,8639660,8,47531
kalk,8622632,10,37397
kalk,8270920,10,101901
xmj0,15772030,6,177483
xmj0,15426501,1,159070
xmj0,14149184,2,173653
xmj0,13865125,1,158112
xmj0,13783350,6,85579
xmj0,12267196,5,145162
xmj0,12036793,2,154366
xmj0,9466182,8,118922
xmj0,9226183,7,109753
xmj0,9142283,10,99724
tmfr,15772029,10,163788
tmfr,11193244,8,121788
glab,15286704,10,151151
glab,14817779,8,170879
glab,12416261,8,150689
thdu,15772027,8,161967
thdu,13953109,8,168298
thdu,13448784,10,105939
thdu,12323260,9,127382
0424,15772026,10,161967
yoon,15772025,6,163788
yoon,15772024,8,164173
yoon,15682287,10,171785
yoon,15665640,10,174050
yoon,15505662,1,161984
yoon,15479913,8,167651
yoon,15126651,10,152344
yoon,15120552,2,157297
yoon,15119981,10,164102
yoon,15082170,10,171755
yoon,14635271,10,175322
yoon,13739348,2,162869
yoon,13715240,6,156565
yoon,12249552,9,139673
dudd,15772023,8,161967
dudd,15010017,10,172187
dudd,14411112,10,167697
dudd,13568049,10,165722
dudd,13527035,10,158576
dudd,13279892,10,125439
dudd,13259640,8,156200
dudd,13259638,10,132626
k2sn,15772022,8,159845
k2sn,15728958,9,47385
k2sn,15726593,9,167699
k2sn,15691219,6,163826
k2sn,15669189,10,35901
k2sn,15659407,9,171785
k2sn,15659178,10,174050
k2sn,15558232,10,136900
k2sn,15532454,6,163608
k2sn,15519382,8,39801
k2sn,15519359,9,83084
k2sn,15519356,9,121048
k2sn,15499384,5,161984
k2sn,15499363,8,167099
k2sn,15424095,10,156464
k2sn,15424092,6,164172
k2sn,15424089,5,159070
k2sn,15419793,8,123277
k2sn,15419346,4,167651
k2sn,15310335,4,164173
k2sn,15290655,3,144266
k2sn,15204038,10,31788
k2sn,15199755,8,149776
k2sn,15194616,7,129050
k2sn,15187668,9,88426
k2sn,15164319,9,151153
k2sn,15164178,6,166092
k2sn,15160963,9,164101
k2sn,15160100,8,164139
k2sn,15160002,4,156496
k2sn,15140043,10,88669
k2sn,15140033,10,50724
k2sn,15106753,8,157297
k2sn,15081472,5,118307
k2sn,15081468,9,164192
k2sn,15061565,9,167638
k2sn,15061546,4,173884
k2sn,15061545,6,171755
k2sn,15046188,8,167374
k2sn,14967452,7,174835
k2sn,14954980,9,31405
k2sn,14914951,9,167105
k2sn,14914945,8,155356
k2sn,14914919,9,168058
k2sn,14914571,2,166610
k2sn,14892657,5,146421
k2sn,14882463,2,171750
k2sn,14882440,2,160487
k2sn,14817184,8,97693
k2sn,14807010,9,168749
k2sn,14773531,5,163533
k2sn,14772218,9,160721
k2sn,14673328,10,136842
k2sn,13404266,10,161850
k2sn,11937169,10,154136
k2sn,11067134,10,122527
k2sn,7401645,8,93035
k2sn,7143282,9,82389
k2sn,7069555,10,68695
k2sn,7069552,10,79762
k2sn,6972037,10,86533
kin0,15772021,1,174065
kin0,15678879,1,159845
kin0,15126611,4,152344
kin0,14607217,10,167697
kin0,13168975,10,165461
zct2,15772020,10,152625
zct2,15757085,10,158191
zct2,15361059,10,141104
zct2,15187644,10,117787
zct2,15022357,1,157297
zct2,14673227,1,162981
zct2,13877565,7,158112
zct2,13773451,10,85579
zct2,13394693,1,52503
zct2,12774420,10,37397
zct2,12774392,10,65902
